Fecha,Comprobante,Cliente,Producto,Cantidad,Importe
2023-01-01,In-00113,Taylor Johnson,Frutas confitadas,10,22
2023-01-01,In-00200,Morgan Brown,Paletas,18,14
2023-01-01,In-00494,Casey Williams,Gomitas,15,18
2023-01-01,In-00664,Sam Smith,Galletas,11,22
2023-01-01,In-00897,Sam Davis,Turrones,9,22
2023-01-01,In-01394,Taylor Miller,Caramelos,5,2
2023-01-01,In-01615,Quinn Smith,Galletas,4,8
2023-01-02,In-00016,Sam Williams,Chicles,7,2
2023-01-02,In-00240,Sam Williams,Galletas,13,26
2023-01-02,In-00441,Taylor Wilson,Galletas,3,6
2023-01-02,In-00446,Jamie Garcia,Chocolate,9,22
2023-01-02,In-00504,Morgan Rodriguez,Galletas,10,20
2023-01-02,In-01078,Jamie Williams,Chicles,17,5
2023-01-02,In-01318,Riley Smith,Paletas,3,2
2023-01-02,In-01336,Avery Garcia,Caramelos,12,6
2023-01-02,In-01404,Taylor Davis,Chicles,7,2
2023-01-02,In-01594,Alex Garcia,Galletas,14,28
2023-01-02,In-01893,Avery Smith,Marshmallows,9,13
2023-01-02,In-01914,Sam Garcia,Gomitas,16,19
2023-01-03,In-00066,Quinn Smith,Galletas,19,38
2023-01-03,In-00122,Morgan Brown,Turrones,16,40
2023-01-03,In-00617,Sam Jones,Paletas,9,7
2023-01-03,In-00630,Quinn Jones,Galletas,17,34
2023-01-03,In-00820,Quinn Williams,Paletas,2,1
2023-01-03,In-01090,Jordan Miller,Turrones,15,37
2023-01-03,In-01099,Morgan Garcia,Galletas,11,22
2023-01-03,In-01171,Alex Smith,Marshmallows,19,28
2023-01-03,In-01439,Taylor Miller,Gomitas,1,1
2023-01-03,In-01456,Morgan Davis,Caramelos,4,2
2023-01-03,In-01952,Morgan Miller,Caramelos,19,9
2023-01-04,In-00015,Taylor Wilson,Frutas confitadas,4,8
2023-01-04,In-00186,Riley Williams,Frutas confitadas,15,33
2023-01-04,In-00245,Jamie Rodriguez,Chocolate,9,22
2023-01-04,In-00522,Avery Miller,Paletas,11,8
2023-01-04,In-00528,Morgan Miller,Chocolate,9,22
2023-01-04,In-00620,Riley Brown,Gomitas,8,9
2023-01-04,In-00945,Avery Smith,Marshmallows,5,7
2023-01-04,In-01148,Morgan Davis,Chocolate,13,32
2023-01-04,In-01386,Taylor Miller,Paletas,16,12
2023-01-04,In-01584,Avery Jones,Turrones,4,10
2023-01-04,In-01590,Morgan Smith,Galletas,6,12
2023-01-04,In-01634,Jordan Rodriguez,Gomitas,7,8
2023-01-04,In-01667,Jamie Brown,Paletas,5,4
2023-01-05,In-00437,Avery Garcia,Marshmallows,13,19
2023-01-05,In-00472,Jamie Williams,Chicles,12,3
